x,y
24,21.54945196
50,47.46446305
15,17.21865634
38,36.58639803
87,87.28898389
36,32.46387493
12,10.78089683
81,80.7633986
25,24.61215147
5,6.963319071
16,11.23757338
16,13.53290206
24,24.60323899
39,39.40049976
54,48.43753838
60,61.69900319
26,26.92832418
73,70.4052055
29,29.34092408
31,25.30895192
68,69.02934339
87,84.99484703
58,57.04310305
54,50.5921991
84,83.02772202
58,57.05752706
49,47.95883341
20,24.34226432
90,94.68488281
48,48.03970696
4,7.08132338
25,21.99239907
42,42.33151664
0,0.329089443
60,61.92303698
93,91.17716423
39,39.45358014
7,5.996069607
21,22.59015942
68,61.18044414
84,85.02778957
0,-1.28631089
58,61.94273962
19,21.96033347
36,33.66194193
19,17.60946242
59,58.5630564
51,52.82390762
19,22.1363481
33,35.07467353
85,86.18822311
44,42.63227697
5,4.09817744
59,61.2229864
14,17.70677576
9,11.85312574
75,80.23051695
69,62.64931741
10,9.616859804
17,20.02797699
58,61.7510743
74,71.61010303
21,23.77154623
51,51.90142035
19,22.66073682
50,50.02897927
24,26.68794368
0,0.376911899
12,6.806419002
75,77.33986001
21,28.90260209
64,66.7346608
5,0.707510638
58,57.07748383
32,28.41453196
41,44.46272123
7,7.459605998
4,2.316708112
5,4.928546187
49,52.50336074
90,91.19109623
3,8.489164326
11,6.963371967
32,31.97989959
83,81.4281205
25,22.62365422
83,78.52505087
26,25.80714057
76,73.51081775
95,91.775467
53,49.21863516
77,80.50445387
42,50.05636123
25,25.46292549
54,55.32164264
55,59.1244888
0,1.100686692
73,71.98020786
35,30.13666408
86,83.88427405
90,89.91004752
13,8.335654576
46,47.88388961
46,45.00397413
32,31.15664574
8,9.190375682
71,74.83135003
28,30.23177607
24,24.21914027
56,57.87219151
49,50.61728392
79,78.67470043
90,86.236707
89,89.10409255
41,43.26595082
27,26.68273277
58,59.46383041
26,28.90055826
31,31.300416
70,71.1433266
71,68.4739206
39,39.98238856
7,4.075776144
48,47.85817542
56,51.20390217
45,43.9367213
41,38.13626679
3,3.574661632
37,36.4139958
24,22.21908523
68,63.5312572
47,49.86702787
27,21.53140009
68,64.05710234
74,70.77549842
95,92.15749762
79,81.22259156
21,25.10114067
95,94.08853397
54,53.25166165
56,59.16236621
80,75.24148428
26,28.22325833
25,25.33323728
8,6.364615703
95,95.4609216
94,88.64183756
54,58.70318693
7,6.815491279
99,99.40394676
36,32.77049249
48,47.0586788
65,60.53321778
42,40.30929858
93,89.42222685
86,86.82132066
26,26.11697543
51,53.26657596
100,96.62327888
94,95.78441027
6,6.047286687
24,24.47387908
75,75.96844763
7,3.829381009
53,52.51703683
73,72.80457527
16,14.10999096
80,80.86087062
77,77.01988215
89,86.26972444
80,77.13735466
55,51.47649476
19,17.34557531
56,57.72853572
47,44.15029394
56,59.24362743
2,-1.053275611
82,86.79002254
57,60.14031858
44,44.04222058
26,24.5227488
52,52.95305521
41,43.16133498
44,45.67562576
3,-2.830749501
31,29.19693178
97,96.49812401
21,22.5453232
17,20.10741433
7,4.035430253
61,61.14568518
10,13.97163653
52,55.34529893
10,12.18441166
65,64.00077658
71,70.3188322
4,-0.936895047
24,18.91422276
26,23.87590331
51,47.5775361
42,43.2736092
62,66.48278755
74,75.72605529
77,80.59643338
3,-2.235879852
50,47.04654956
24,21.59635575
37,32.87558963
58,57.95782956
52,52.24760027
27,24.58286902
14,12.12573805
100,100.0158026
3530.15736917
72,74.04682658
5,1.611947467
71,70.36836307
54,52.26831735
84,83.1286166
42,43.64765048
54,49.44785426
74,72.6356699
54,52.78130641
53,57.11195136
78,79.1050629
97,101.6228548
49,53.5825402
71,68.92139297
48,46.9666961
51,51.02642868
89,85.52073551
99,99.51685756
93,94.63911256
49,46.78357742
18,21.21321959
65,58.37266004
83,87.22059677
100,102.4967859
41,43.88314335
52,53.06655757
29,26.33464785
97,98.52008934
7,9.400497579
51,52.94026699
58,53.83020877
50,45.94511142
67,65.0132736
89,86.5069584
76,75.63280796
35,36.78035027
99,100.5328916
31,29.04466136
52,51.70352433
11,9.199954718
66,71.70015848
50,49.82634062
39,37.49971096
60,53.65084683
35,33.92561965
53,49.92639685
14,8.148154262
49,49.72359037
16,16.16712757
76,75.30033002
13,9.577368568
51,48.38088357
70,72.95331671
98,92.59573853
86,88.85523586
100,99.00361771
46,45.09439571
51,46.94362684
50,48.33449605
91,94.92329574
48,47.78165248
81,81.28960746
38,37.83155021
40,39.69185252
79,76.92664854
96,88.02990531
60,56.99178872
70,72.58929383
44,44.98103442
11,11.99017641
6,1.919513328
5,1.628826073
72,66.27746655
55,57.53887255
95,94.70291077
41,41.21469904
25,25.04169243
1,3.778209914
55,50.50711779
4,9.682408486
48,48.88147608
55,54.40348599
75,71.70233156
68,69.35848388
100,99.98491591
25,26.03323718
75,75.48910307
34,36.59623056
38,40.95102191
92,86.78316267
21,15.50701184
88,85.86077871
75,79.20610113
76,80.80643766
44,48.59717283
10,13.93415049
21,27.3051179
16,14.00226297
32,33.67416
13,13.11612884
26,24.76649193
70,73.68477876
77,77.53149541
77,76.24503196
88,88.0578931
35,35.02445799
24,21.65857739
17,17.33681562
91,94.36778957
32,33.43396307
36,32.52179399
89,90.57741298
69,71.25634126
30,31.23212856
6,5.398840061
22,18.56241391
67,71.97121038
9,5.225759566
74,73.5964342
50,49.76948983
85,82.69087513
3,1.652309089
0,-3.836652144
59,62.03811556
62,61.26514581
17,13.24991628
90,88.61672694
23,21.13655528
19,23.85017475
93,92.01203405
14,10.26712261
58,54.14681616
87,87.00645713
37,37.69447352
20,19.62278654
35,34.78561007
63,62.03190983
56,52.67003801
62,58.09031476
98,97.19448821
90,90.50155298
51,50.5123462
93,94.45211871
22,21.10794636
38,37.36298431
13,10.28574844
98,96.04932416
99,100.0953697
31,30.6063167
94,96.19000542
73,71.30828034
37,34.59311043
23,19.02332876
11,10.76669688
88,90.5799868
47,48.71787679
79,78.74139764
91,85.23492274
71,71.65789964
10,8.938990554
39,39.89606046
92,91.85091116
99,99.11200375
28,26.22196486
32,33.21584226
32,35.72392691
75,76.88604495
99,99.30874567
27,25.77161074
64,67.85169407
98,98.50371084
38,31.11331895
46,45.51171028
13,12.65537808
96,95.56065366
9,9.526431641
34,36.10893209
49,46.43628318
1,-3.83998112
50,48.97302037
94,93.25305499
27,23.47650968
20,17.13551132
12,14.55896144
45,41.53992729
91,91.64730552
61,66.16652565
10,9.230857489
47,47.41377893
33,34.76441561
84,86.10796637
24,21.81267954
48,48.89963951
48,46.78108638
9,12.91328547
93,94.55203143
99,94.97068753
8,2.379172481
20,21.47982988
38,35.79795462
78,82.0763803
81,78.87097714
42,47.2492425
95,96.18852325
78,78.38491927
44,42.94274064
68,64.43231595
87,84.21191485
58,57.3069783
52,52.52101436
26,25.7440243
75,75.42283401
48,53.62523007
71,75.14466308
77,74.12151511
34,36.24807243
24,20.21665898
70,66.94758118
29,34.07278254
76,73.13850045
98,92.85929155
28,28.36793808
87,85.59308727
9,10.68453755
87,86.10708624
33,33.22031418
64,66.09563422
17,19.30486546
49,48.84542083
95,93.73176312
75,75.45758614
89,91.24239226
81,87.15690853
25,25.53752833
47,46.06629478
50,49.65277661
5,7.382244165
68,71.11189935
84,83.50570521
8,8.791139893
41,33.30638903
26,26.40362524
89,91.72960726
78,82.53030719
34,36.67762733
92,86.98450355
27,32.34784175
12,16.78353974
2,1.576584383
22,17.4618141
0,2.116113029
26,24.34804332
50,48.29491198
84,85.52145453
70,73.71434779
66,63.15189497
42,38.46213684
19,19.47100788
94,94.07428225
71,67.92051286
19,22.58096241
16,16.01629889
49,48.43307886
29,29.6673599
29,26.65566328
86,86.28206739
50,50.82304924
86,88.57251713
30,32.59980745
23,21.02469368
20,20.72894979
16,20.38051187
57,57.25180153
8,6.967537054
8,10.240085
62,64.94841088
55,55.35893915
30,31.24365589
86,90.72048818
62,58.750127
51,55.85003198
61,60.19925869
86,85.03295412
61,60.38823085
21,18.44679787
81,82.18839247
97,94.2963344
5,7.682024586
61,61.01858089
47,53.60562216
98,94.47728801
30,27.9645947
63,62.55662585
0,1.406254414
100,101.7003412
18,13.84973988
30,28.99769315
98,99.04315693
16,15.56135514
22,24.63528393
55,53.98393374
43,42.91449728
75,74.29662112
91,91.17012883
46,49.42440876
85,82.47683519
55,56.15303953
36,37.17063131
49,46.36928662
94,97.02383456
43,40.83182104
22,24.08498313
37,41.14386358
24,21.97388066
95,100.740897
61,61.19971596
75,74.39517002
68,69.04377173
58,56.68718792
5,5.860391715
53,55.72021356
80,79.22021816
83,86.30177517
25,25.26971886
34,36.33294447
26,27.65574228
90,94.79690531
60,58.67366671
49,56.15934471
19,18.40919388
92,86.26936988
29,26.59436195
8,8.452520159
57,56.18131518
29,27.65452669
19,20.87391785
81,77.83354439
50,50.01787825
15,9.290856256
70,75.0284725
39,38.3037698
43,44.70786405
21,22.51016575
98,102.4959452
86,86.76845244
16,13.89748578
25,24.81824269
31,33.94224862
93,92.26970059
67,68.73365081
49,47.38516883
25,32.37576914
88,87.67388681
54,54.57648371
21,18.06450222
8,7.896539841
32,35.00341078
35,36.72823317
67,65.84975426
90,89.59295492
59,61.69026202
15,11.60499315
67,71.0826803
42,43.71901164
44,41.57421008
77,74.25552425
68,66.28310437
36,36.62438077
11,10.32374866
10,7.156457657
65,67.88603132
98,101.1097591
98,98.6132033
49,50.19083844
31,27.83896261
56,55.9249564
70,76.47340872
91,92.05756378
25,27.35245439
54,55.32083476
39,41.39990349
91,93.59057024
3,5.297054029
22,21.01429422
2,2.267059451
2,-0.121860502
65,66.49546208
71,73.83637687
42,42.10140878
76,77.35135732
43,41.02251779
8,14.75305272
86,83.28199022
87,89.93374342
3,2.286571686
58,55.61421297
62,62.15313408
89,89.55803528
95,94.00291863
28,26.78023848
0,-0.764537626
1,0.282866003
49,44.26800515
21,19.85174138
46,47.15960005
11,8.359366572
89,92.08157084
37,41.88734051
29,30.5413129
44,46.87654473
96,96.35659485
16,17.9170699
74,71.67949917
35,32.64997554
42,39.34482965
16,17.03401999
56,52.87524074
18,15.85414849
100,108.8716183
54,49.30477253
92,89.4749477
63,63.67348242
81,83.78410946
73,73.51136922
48,46.80297244
1,5.809946802
85,85.23027975
14,10.58213964
25,21.37698317
45,46.0537745
98,95.2389253
97,94.15149206
58,54.54868046
93,87.36260449
88,88.47741598
89,84.48045678
47,48.79647071
6,10.76675683
34,30.48882921
30,29.76846185
16,13.51574749
86,86.12955884
40,43.30022747
52,51.92110232
15,16.49185287
4,7.998073432
95,97.66689567
99,89.80545367
35,38.07166567
58,60.27852322
10,6.709195759
16,18.35488924
53,56.37058203
58,62.80064204
42,41.25155632
24,19.42637541
84,82.88935804
64,63.61364981
12,11.29627199
61,60.02274882
75,72.60339326
15,11.87964573
100,100.7012737
43,45.12420809
13,14.81106804
48,48.09368034
45,42.29145672
52,52.73389794
34,36.72396986
30,28.64535198
65,62.16675273
100,95.58459518
67,66.04325304
99,99.9566225
45,46.14941984
87,89.13754963
73,69.71787806
9,12.31736648
81,78.20296268
72,71.30995371
81,81.45544709
58,58.59500642
93,94.62509374
82,88.60376995
66,63.64868529
97,94.9752655